card_urls,PRODUCT,Rarity,pack,img_urls
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/altaria,Altaria,Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246906.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/ampharos,Ampharos,Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246898.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/appletun,Appletun,Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246921.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/applin,Applin,Common,swsh07-evolving-skies,https://product-images.tcgplayer.com/246832.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/arctovish-v,Arctovish V,Ultra Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246759.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/arctovish-v-full-art,Arctovish V (Full Art),Ultra Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246761.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/aroma-lady,Aroma Lady,Uncommon,swsh07-evolving-skies,https://product-images.tcgplayer.com/246766.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/aroma-lady-full-art,Aroma Lady (Full Art),Ultra Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246791.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/aroma-lady-secret,Aroma Lady (Secret),Secret Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246792.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/avalugg,Avalugg,Uncommon,swsh07-evolving-skies,https://product-images.tcgplayer.com/246870.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/bagon,Bagon,Common,swsh07-evolving-skies,https://product-images.tcgplayer.com/246907.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/bergmite,Bergmite,Common,swsh07-evolving-skies,https://product-images.tcgplayer.com/246868.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/boldore,Boldore,Uncommon,swsh07-evolving-skies,https://product-images.tcgplayer.com/246884.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/boost-shake,Boost Shake,Uncommon,swsh07-evolving-skies,https://product-images.tcgplayer.com/246767.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/boost-shake-secret,Boost Shake (Secret),Secret Rare,swsh07-evolving-skies,https://product-images.tcgplayer.com/246804.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/braviary,Braviary,Uncommon,swsh07-evolving-skies,https://product-images.tcgplayer.com/246877.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/carvanha,Carvanha,Common,swsh07-evolving-skies,https://product-images.tcgplayer.com/246839.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/chinchou,Chinchou,Common,swsh07-evolving-skies,https://product-images.tcgplayer.com/246888.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/code-card-eevee-evolutions-tin-flareon-v,Code Card - Eevee Evolutions Tin [Flareon V],Code Card,swsh07-evolving-skies,https://product-images.tcgplayer.com/248044.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/code-card-eevee-evolutions-tin-jolteon-v,Code Card - Eevee Evolutions Tin [Jolteon V],Code Card,swsh07-evolving-skies,https://product-images.tcgplayer.com/248045.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/code-card-eevee-evolutions-tin-vaporeon-v,Code Card - Eevee Evolutions Tin [Vaporeon V],Code Card,swsh07-evolving-skies,https://product-images.tcgplayer.com/248043.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/code-card-evolving-skies-3-pack-blister-eiscue,Code Card - Evolving Skies 3 Pack Blister [Eiscue],Code Card,swsh07-evolving-skies,https://product-images.tcgplayer.com/248033.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/code-card-evolving-skies-3-pack-blister-umbreon,Code Card - Evolving Skies 3 Pack Blister [Umbreon],Code Card,swsh07-evolving-skies,https://product-images.tcgplayer.com/248032.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/code-card-evolving-skies-booster,Code Card - Evolving Skies Booster,Code Card,swsh07-evolving-skies,https://product-images.tcgplayer.com/248026.jpg
https://shop.tcgplayer.com/pokemon/swsh07-evolving-skies/code-card-evolving-skies-build-and-battle-box,Code Card - Evolving Skies Build & Battle Box,Code Card,swsh07-evolving-skies,https://product-images.tcgplayer.com/248027.jpg
